Strategy,Candles,Total_Return,Max_Drawdown,Calmar_Ratio,Total_Trades,Score,Buy_Hold_Return,Outperformance
adaptive_ema_v2,300,8.48,8.60,0.99,8,9.86,1.78,6.70
adaptive_ema_v2,500,9.30,8.60,1.08,14,10.81,4.52,4.78
adaptive_ema_v2,600,9.90,8.60,1.15,16,11.51,9.82,0.08
adaptive_ema_v2,800,19.98,8.60,2.32,22,23.22,31.73,-11.75
adaptive_ema_v2,1100,34.87,8.60,4.05,31,40.53,65.01,-30.14
adaptive_ema_v2,1400,14.68,23.85,0.62,41,6.16,51.09,-36.41
adaptive_ema_v2,1700,17.85,23.85,0.75,49,7.49,26.00,-8.15
adaptive_ema_v2,2000,26.03,23.85,1.09,59,10.91,51.42,-25.39
adaptive_ema_v2,2250,33.65,23.85,1.41,63,14.11,73.20,-39.55
adaptive_ema_v2,2500,35.01,23.85,1.47,72,14.68,51.06,-16.05
adaptive_ema_v2.1,300,7.85,11.52,0.68,24,6.81,1.78,6.07
adaptive_ema_v2.1,500,20.37,11.52,1.77,45,17.69,4.52,15.85
adaptive_ema_v2.1,600,26.49,11.52,2.30,52,23.00,9.82,16.67
adaptive_ema_v2.1,800,43.38,11.52,3.77,72,37.66,31.73,11.65
adaptive_ema_v2.1,1100,60.91,11.52,5.29,92,52.88,65.01,-4.10
adaptive_ema_v2.1,1400,27.97,32.74,0.85,109,8.54,51.09,-23.12
adaptive_ema_v2.1,1700,42.13,32.74,1.29,130,12.87,26.00,16.12
adaptive_ema_v2.1,2000,69.46,32.74,2.12,154,21.21,51.42,18.04
adaptive_ema_v2.1,2250,79.56,32.74,2.43,150,24.30,73.20,6.36
adaptive_ema_v2.1,2500,88.83,32.74,2.71,141,27.13,51.06,37.76
adaptive_ema_v2.2,300,7.50,10.28,0.73,8,7.30,1.78,5.72
adaptive_ema_v2.2,500,9.04,10.28,0.88,14,8.80,4.52,4.52
adaptive_ema_v2.2,600,12.25,10.28,1.19,16,11.92,9.82,2.43
adaptive_ema_v2.2,800,25.71,10.28,2.50,20,25.03,31.73,-6.01
adaptive_ema_v2.2,1100,41.73,10.28,4.06,30,40.62,65.01,-23.27
adaptive_ema_v2.2,1400,25.86,20.94,1.24,36,12.35,51.09,-25.23
adaptive_ema_v2.2,1700,26.84,20.94,1.28,44,12.82,26.00,0.83
adaptive_ema_v2.2,2000,37.22,20.94,1.78,53,17.78,51.42,-14.20
adaptive_ema_v2.2,2250,44.33,20.94,2.12,57,21.17,73.20,-28.87
adaptive_ema_v2.2,2500,41.03,20.94,1.96,65,19.60,51.06,-10.03
adaptive_ema_v4,300,12.28,4.41,2.78,2,27.85,1.78,10.50
adaptive_ema_v4,500,16.26,4.41,3.69,2,36.89,4.52,11.74
adaptive_ema_v4,600,18.23,5.28,3.45,4,34.55,9.82,8.40
adaptive_ema_v4,800,27.72,5.82,4.76,14,47.61,31.73,-4.01
adaptive_ema_v4,1100,48.85,4.47,10.92,9,109.24,65.01,-16.15
adaptive_ema_v4,1400,74.26,4.85,15.30,11,153.01,51.09,23.18
adaptive_ema_v4,1700,80.32,7.51,10.69,21,106.95,26.00,54.32
adaptive_ema_v4,2000,79.63,7.51,10.60,24,106.03,51.42,28.21
adaptive_ema_v4,2250,82.36,6.29,13.10,27,131.01,73.20,9.17
adaptive_ema_v4,2500,74.78,6.77,11.05,25,110.49,51.06,23.72
